batch_id,sku,product_slug,product_name,category,source_file,source_type,target_file,target_type,source_width,source_height,source_size_bytes,target_width,target_height,target_format,existing_target,action,status,notes
20260717075231-7ba9bd,GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,image-import/control-brake-cables/bowden-cable-assembly/construction-original-03.webp,construction,public/images/products/bowden-cable-assembly/construction-03.webp,construction,730,730,11904,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,image-import/control-brake-cables/bowden-cable-assembly/construction-original-04.webp,construction,public/images/products/bowden-cable-assembly/construction-04.webp,construction,730,730,21386,730,730,webp,false,skip,skipped,Source is byte-identical to an earlier gallery source and is excluded to prevent duplicate output.
20260717075231-7ba9bd,GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,image-import/control-brake-cables/bowden-cable-assembly/construction-original-05.webp,construction,public/images/products/bowden-cable-assembly/construction-05.webp,construction,730,730,32280,730,730,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,image-import/control-brake-cables/bowden-cable-assembly/gym-cable-coated-black-pvc26351933454.webp,unknown,,,730,730,30624,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,image-import/control-brake-cables/bowden-cable-assembly/main-original-01.webp,main,public/images/products/bowden-cable-assembly/main.webp,main,730,730,32280,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,image-import/control-brake-cables/push-pull-control-cable/main-original-01.webp,main,public/images/products/push-pull-control-cable/main.webp,main,730,730,23482,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,image-import/control-brake-cables/push-pull-control-cable/push-pull-control-cable-assemblies28340444875.webp,unknown,,,730,730,23482,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,image-import/control-brake-cables/push-pull-control-cable/push-pull-control-cable-assemblies32008030633.webp,unknown,,,730,730,22994,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,image-import/control-brake-cables/push-pull-control-cable/push-pull-control-cable-assemblies32008968165.webp,unknown,,,730,730,18630,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,image-import/control-brake-cables/push-pull-control-cable/push-pull-control-cable-assemblies32009905786.webp,unknown,,,730,730,18040,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
