batch_id,category,product_slug,product_name,source_path,source_filename,target_path,target_filename,detected_type,confidence,width,height,file_size_bytes,extension,contains_old_brand_filename,contains_contact_filename,action,status,notes
20260717072102-ir1o25,control-brake-cables,push-pull-control-cable,Push Pull Control Cable,image-import/control-brake-cables/push-pull-control-cable/,push-pull-control-cable-assemblies32009905786.webp,image-import/control-brake-cables/push-pull-control-cable/,review-original-04.webp,review,low,730,730,18040,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,control-brake-cables,push-pull-control-cable,Push Pull Control Cable,image-import/control-brake-cables/push-pull-control-cable/,push-pull-control-cable-assemblies32010843094.webp,image-import/control-brake-cables/push-pull-control-cable/,review-original-05.webp,review,low,730,730,12152,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,control-brake-cables,brake-cable-assembly,Brake Cable Assembly,image-import/control-brake-cables/brake-cable-assembly/,construction-original-01.webp,image-import/control-brake-cables/brake-cable-assembly/,construction-original-01.webp,construction,high,730,730,23168,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,brake-cable-assembly,Brake Cable Assembly,image-import/control-brake-cables/brake-cable-assembly/,construction-original-02.webp,image-import/control-brake-cables/brake-cable-assembly/,construction-original-02.webp,construction,high,730,730,30560,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,brake-cable-assembly,Brake Cable Assembly,image-import/control-brake-cables/brake-cable-assembly/,construction-original-03.webp,image-import/control-brake-cables/brake-cable-assembly/,construction-original-03.webp,construction,high,730,730,28470,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,brake-cable-assembly,Brake Cable Assembly,image-import/control-brake-cables/brake-cable-assembly/,construction-original-04.webp,image-import/control-brake-cables/brake-cable-assembly/,construction-original-04.webp,construction,high,730,730,27988,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,brake-cable-assembly,Brake Cable Assembly,image-import/control-brake-cables/brake-cable-assembly/,construction-original-05.webp,image-import/control-brake-cables/brake-cable-assembly/,construction-original-05.webp,construction,high,730,730,23584,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,throttle-control-cable,Throttle Control Cable,image-import/control-brake-cables/throttle-control-cable/,throttle-motorcycle-control-cable49510017499.webp,image-import/control-brake-cables/throttle-control-cable/,review-original-01.webp,review,low,730,730,31244,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,control-brake-cables,throttle-control-cable,Throttle Control Cable,image-import/control-brake-cables/throttle-control-cable/,throttle-motorcycle-control-cable54550860320.webp,image-import/control-brake-cables/throttle-control-cable/,review-original-02.webp,review,low,730,730,32568,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,control-brake-cables,throttle-control-cable,Throttle Control Cable,image-import/control-brake-cables/throttle-control-cable/,throttle-motorcycle-control-cable54551797822.webp,image-import/control-brake-cables/throttle-control-cable/,review-original-03.webp,review,low,730,730,31206,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,control-brake-cables,throttle-control-cable,Throttle Control Cable,image-import/control-brake-cables/throttle-control-cable/,throttle-motorcycle-control-cable54552891570.webp,image-import/control-brake-cables/throttle-control-cable/,review-original-04.webp,review,low,730,730,21556,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
